titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
Gestión de personas: Recursos Humanos,19687.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,5,119.0
From Poverty to Prosperity: Understanding Economic Development,91062.0,Self-paced on your time,University of Oxford,Intermediate,Social Sciences,English,6,149.0
Medical Terminology,31354.0,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,8,79.0
Ancient Masterpieces of World Literature,48899.0,Self-paced on your time,Harvard University,Introductory,Literature,English,6,99.0
Shakespeare's The Merchant of Venice: Shylock,23283.0,Self-paced on your time,Harvard University,Introductory,Humanities,English,4,49.0
Gestión del estrés y Mindfulness,15965.0,Self-paced on your time,Universidades Anáhuac,Introductory,Health & Safety,Español,4,49.0
Behavioural Economics in Action,66764.0,Self-paced on your time,University of Toronto,Introductory,Business & Management,English,6,139.0
Finance for Everyone: Smart Tools for Decision-Making,45029.0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,6,49.0
Creating Innovative Business Models,12227.0,Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",Introductory,Business & Management,English,4,149.0
u.lab: Leading From the Emerging Future,79424.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,14,99.0
Electric Cars: Introduction,56171.0,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,4,50.0
Inteligencia Artificial para todos: Domina los fundamentos,11764.0,Self-paced on your time,IBM,Introductory,Computer Science,Español,4,49.0
Marketing Analytics,55228.0,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,12,249.0
Introducción a la Regulación Emocional basada en Mindfulness,20634.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Health & Safety,Español,4,49.0
Design Thinking Fundamentals,56446.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6,299.0
Basic Spanish 3: Getting there,17569.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,4,50.0
Mi propia huerta orgánica,11346.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,4,29.0
Sustainability in Architecture: An Interdisciplinary Introduction,31352.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Architecture,English,4,50.0
Gestión de riesgos en proyectos de desarrollo,47676.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,10,25.0
Python Data Structures,36369.0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,7,49.0
The Science and Business of Biotechnology,17039.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Business & Management,English,16,49.0
Finance Essentials,63666.0,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,6,79.0
